Object Constellation Type RA_Hours RA_Minutes Dec_Degrees Dec_Minutes Magnitude Dimensions Distance(kly)
110 And 6 00 40.4 +41 41  8.5   17x10    2900      
031 And 5 00 42.7 +41 16  3.4  178x63    2900      
032 And 6 00 42.7 +40 52  8.1    8x6     2900      
103 Cas 1 01 33.2 +60 42  7.4    6.0        8.5   
033 Tri 5 01 33.9 +30 39  5.7   73x45    3000      
074 Psc 5 01 36.7 +15 47  9.4 10.2x9.5  35000      
076 Per 3 01 42.4 +51 34 10.1  2.7x1.8      3.4    
034 Per 1 02 42.0 +42 47  5.5   35.0        1.4    
077 Cet 5 02 42.7 -00 01  8.9    7x6    60000      
045 Tau 1 03 47.0 +24 07  1.6  110.0        0.38   
079 Lep 2 05 24.2 -24 31  7.7    8.7       42.1    
038 Aur 1 05 28.4 +35 50  7.4   21.0        4.2    
001 Tau 9 05 34.5 +22 01  8.4    6x4        6.3    
042 Ori 4 05 35.4 -05 27  4.0   85x60       1.6    
043 Ori 4 05 35.6 -05 16  9.0   20x15       1.6    
036 Aur 1 05 36.1 +34 08  6.3   12.0        4.1    
078 Ori 4 05 46.7 +00 03  8.3    8x6        1.6    
037 Aur 1 05 52.4 +32 33  6.2   24.0        4.4    
035 Gem 1 06 08.9 +24 20  5.3   28.0        2.8    
041 CMa 1 06 46.0 -20 44  4.6   38.0        2.3    
050 Mon 1 07 03.2 -08 20  6.3   16.0        3      
047 Pup 1 07 36.6 -14 30  5.2   30.0        1.6    
046 Pup 1 07 41.8 -14 49  6.0   27.0        5.4    
093 Pup 1 07 44.6 -23 52  6.0   22.0        3.6    
048 Hya 1 08 13.8 -05 48  5.5   54.0        1.5    
044 Cnc 1 08 40.1 +19 59  3.7   95.0        0.577  
067 Cnc 1 08 50.4 +11 49  6.1   30.0        2.7    
081 UMa 5 09 55.6 +69 04  6.9   21x10   12000     
082 UMa 7 09 55.8 +69 41  8.4    9x4    12000     
095 Leo 5 10 44.0 +11 42  9.7  4.4x3.3  38000      
096 Leo 5 10 46.8 +11 49  9.2    6x4    38000      
105 Leo 6 10 47.8 +12 35  9.3    2.0    38000      
108 UMa 5 11 11.5 +55 40 10.0    8x1    45000      
097 UMa 3 11 14.8 +55 01  9.9  3.4x3.3      2.6    
065 Leo 5 11 18.9 +13 05  9.3    8x1.5  35000      
066 Leo 5 11 20.2 +12 59  8.9    8x2.5  35000      
109b UMa 5 11 53.8 +52 20 10.1    7x4    55000      
109 UMa 5 11 57.6 +53 23  9.8    7x4    55000      
098 Com 5 12 13.8 +14 54 10.1  9.5x3.2  60000      
099 Com 5 12 18.8 +14 25  9.9  5.4x4.8  60000      
106 CVn 5 12 19.0 +47 18  8.4   19x8    25000      
061 Vir 5 12 21.9 +04 28  9.7    6x5.5  60000      
040 UMa C 12 22.4 +58 05  8.4    0.8        0.51   
100 Com 5 12 22.9 +15 49  9.3    7x6    60000      
084 Vir 8 12 25.1 +12 53  9.1    5.0    60000      
085 Com 8 12 25.4 +18 11  9.1  7.1x5.2  60000      
086 Vir 8 12 26.2 +12 57  8.9  7.5x5.5  60000      
049 Vir 6 12 29.8 +08 00  8.4    9x7.5  60000      
087 Vir 6 12 30.8 +12 24  8.6    7.0    60000      
088 Com 5 12 32.0 +14 25  9.6    7x4    60000      
