"Austin, TX";"Longitude=97°48'48""West";"Latitude=+30°17'44""";"Time zone=CST"
"Moon";"Date Coord.";"";"";"";"";"";"";"";"";""
"4h30m UT";"RA";"DE";"Magn.";"Diam.";"Illum.";"Rise";"Culmination";"Set";"Az";"Alt"
"2021-01-02";"  9h32m34.2s";"+19°11'45""";"-11.6";"1887.2";"0.90";" 21h23m";"  3h23m";" 10h19m";"+81°36'";"+25°14'"
"2021-01-03";" 10h26m14.0s";"+15°01'24""";"-11.2";"1895.8";"0.83";" 22h25m";"  4h14m";" 10h58m";"+79°52'";"+12°47'"
"2021-01-04";" 11h18m10.3s";"+10°02'16""";"-11.0";"1903.0";"0.74";" 23h28m";"  5h03m";" 11h33m";"+78°24'";"+00°33'"
"2021-01-05";" 12h08m55.0s";"+04°30'18""";"-10.6";"1909.0";"0.64";"      ";"  5h51m";" 12h07m";"+77°00'";"-12°08'"
"2021-01-06";" 12h59m18.5s";"-01°18'06""";"-10.1";"1914.1";"0.53";"  0h31m";"  6h40m";" 12h41m";"+75°29'";"-25°08'"
"2021-01-07";" 13h50m20.5s";"-07°05'56""";"-9.6";"1918.1";"0.41";"  1h36m";"  7h29m";" 13h17m";"+73°33'";"-38°13'"
"2021-01-08";" 14h43m00.4s";"-12°35'05""";"-9.0";"1920.6";"0.30";"  2h41m";"  8h21m";" 13h56m";"+70°39'";"-51°20'"
"2021-01-09";" 15h38m06.6s";"-17°25'58""";"-8.3";"1920.9";"0.20";"  3h49m";"  9h16m";" 14h39m";"+65°07'";"-64°23'"
"2021-01-10";" 16h36m01.0s";"-21°18'14""";"-7.6";"1918.4";"0.12";"  4h57m";" 10h15m";" 15h29m";"+49°09'";"-76°48'"
"2021-01-11";" 17h36m22.6s";"-23°53'06""";"-5.4";"1912.3";"0.05";"  6h04m";" 11h15m";" 16h25m";"+333°17'";"-82°49'"
"2021-01-12";" 18h38m00.2s";"-24°57'22""";"-1.0";"1902.3";"0.01";"  7h07m";" 12h16m";" 17h27m";"+284°15'";"-73°09'"
"2021-01-13";" 19h39m07.7s";"-24°27'19""";"0.0";"1888.7";"0.00";"  8h03m";" 13h15m";" 18h30m";"+273°40'";"-60°42'"
"2021-01-14";" 20h38m01.4s";"-22°29'59""";"-1.0";"1872.2";"0.01";"  8h52m";" 14h11m";" 19h34m";"+269°27'";"-48°05'"
"2021-01-15";" 21h33m33.8s";"-19°20'29""";"-5.0";"1854.1";"0.05";"  9h33m";" 15h02m";" 20h36m";"+267°11'";"-35°39'"
"2021-01-16";" 22h25m26.5s";"-15°17'30""";"-7.3";"1835.8";"0.10";" 10h09m";" 15h49m";" 21h35m";"+265°44'";"-23°30'"
"2021-01-17";" 23h14m00.7s";"-10°39'09""";"-8.1";"1818.9";"0.17";" 10h41m";" 16h33m";" 22h31m";"+264°41'";"-11°38'"
"2021-01-18";"  0h00m01.1s";"-05°40'56""";"-8.8";"1804.8";"0.25";" 11h11m";" 17h15m";" 23h25m";"+263°50'";"-00°07'"
